identifier,question,answer
ICA_92,What is the difference between visa and visit pass?,A valid Singapore visa is not an immigration pass. A valid entry visa is a pre-entry requirement that you must apply for before travelling to seek entry into Singapore if you hold a travel document issued by one of the following countries/places listed on ICA website.Possessing a valid visa does not guarantee entry into Singapore. You will have to satisfy the basic entry requirements (https://www.ica.gov.sg/enter-transit-depart/entering-singapore) before being considered for entry into Singapore.The grant of a visit pass is determined by the ICA officers at the point of entry. The period of stay granted is shown on the visit pass endorsement given on the passport or the electronic Visit Pass (e-Pass) issued to you through email. You can visit the e-Pass portal or use the Visit Pass Validity Tool to check the expiry of your e-Pass or visit pass. Please note that the period of stay is not tied to the validity of your entry visa.You may refer to ICA website for more information should you require to extend your visit pass.
ICA_93,What should I do after my Singapore Permanent Residence (PR) application is approved?,"Once your PR application is approved, ICA will issue you with an In-Principle Approval (IPA) letter containing administrative details/conditions.Singapore PR applicants and sponsor who have received the PR IPA letter must be present in person at ICA ICA Services Centre to complete Singapore PR formalities.Please ensure that all requirements as stated in the IPA letter are duly completed and the relevant documents/ forms are submitted on the appointment day for ICA to process the formalities accordingly."
ICA_94,What should I do if I am prompted with an error message when submitting the SG Arrival Card?,"For more information on the SG Arrival Card e-Service, please refer to our Frequently Asked Questions (FAQs) and video guide.You may also submit an enquiry with a screenshot of the error message (if available) for further clarification on your SGAC submission. Do indicate whether you are using the web service or MyICA Mobile App for the error encountered when submitting the SG Arrival Card application."
ICA_95,How do I report the loss of a physical Long-Term Visit Pass card?,"With effect from 27 Feb 2023, ICA has ceased the issuance of Long-Term Visit Pass (LTVP) physical cards.For replacement of LTVP due to loss/damage, there is no need to report to ICA as no physical LTVP card will be issued for the replacement.You may use the digital LTVP in your Singpass app for verification of your status.Only pass holders who are unable to apply for Singpass (e.g. LTVP holders under 15 years old), may report to ICA Services Centre to seek a digital replacement of their lost/damaged LTVP card."
ICA_96,What should the traveller do when his/her QR code is expiring?,"When the traveller accesses the QR code via the MyICA mobile app and their passports is still valid, the QR code's validity will be automatically extended. Hence, no further actions are required for these group of travellers.The QR code will be invalid for use once the passport has expired. MyICA mobile app will prompt users that their passport has expired or is expiring (i.e., passport with less than six months' validity).After travellers have received a new passport, they can update their or others' profile information in MyICA mobile app. This includes making changes to details such as the new passport number and passport expiry date."
ICA_97,"During the passport application, I had selected Singapore as my collection centre. How do I change the collection venue to an overseas mission subsequently?",Please contact us via the enquiry form for assistance.
ICA_98,What happens if travellers do not have mobile data to access the QR Code in MyICA mobile app?,"The QR code generation works in offline mode.Travellers can still create and retrieve the QR code for self-scanning at the immigration counters, even if travellers do not have mobile data.For a smooth journey, travellers are advised to generate their individual or group QR code before their arrival at Singapore land checkpoints."
ICA_99,Why is it necessary for all arriving travellers to submit SG Arrival Card with health declaration?,"The electronic health declaration is in place for purposes of disease control, specifically to guard against importing diseases of concern, to protect the health of Singapore residents. Those who make false declarations may be prosecuted under the Infectious Diseases Act."
ICA_100,Can travellers update the members in the group QR code for different trips?,"The MyICA mobile app can store multiple group QR codes with different group members. Travellers can edit the members in a group by adding or removing the member profile and regenerating the QR code even in offline mode (i.e., without mobile data). Travellers have the option to customise group names (e.g., 'Family', or 'Friends') to better fit their travel requirements."
ICA_101,Does my child need to be a Permanent Resident (PR) before applying for Singapore citizenship?,Your child may apply Singapore Citizenship without the need to be a Permanent Resident.
ICA_102,How do I renew my Student's Pass before pass expiry?,You must be accepted for admission into a full-time course by a recognised education institution in Singapore to apply for renewal of your Student's Pass. You may renew your Student's Pass online using the e-Service.
ICA_103,Can I request for a Long-Term Visit Pass (LTVP) physical card after 27 Feb 2023?,ICA had ceased the issuance of Long-Term Visit Pass (LTVP) physical cards from 27 Feb 2023. LTVP will henceforth be issued in digital format only.
ICA_104,"Are travellers required to bring their passport along when travelling to Malaysia, given that they can now use a QR code for immigration clearance?","The QR code can only be used for immigration clearance at Singapore land checkpoints via car, motorcycle, lorry and bus.Travellers are reminded to bring their passports when travelling overseas, as it remains the official travel document for identification during overseas travel."
ICA_105,Why am I unable to book an appointment to collect my passport at ICA Services Centre?,"If you are eligible for collection at SingPost, you will only be offered this option and will not be able to book an appointment at ICA Services Centre."
ICA_106,How do I collect my Singapore citizenship certificate?,You will be required to attend the citizenship ceremony to collect your original Singapore citizenship certificate. More details of the citizenship ceremony would be sent to you via email once the details are finalised.
ICA_107,What is the processing time for visa application?,"The processing time is within three (3) working days, excluding the day of submission. Some applications may take longer to process, especially during peak periods.You can use the Enquire Application Status function to check on the progress of your application."
ICA_108,How do I check if a person is a Singapore Permanent Resident (PR)?,You may check the validity of the Re-entry Permit (REP) held by the person alongside a valid Identity Card (IC) or Digital IC (if available).
ICA_109,Can I access the e-Service to reprint my Re-Entry Permit (REP)?,"You can access the ""Print REP"" function on the e-Service to reprint your Re-Entry Permit (REP). There is no charge for the reprint of a REP."
ICA_110,What are the documents required for passport collection?,"Please bring along the following documents:For yourself –• IC;• Current passport (if valid at the point of application).For your child (aged below 16 at the point of application) –• Child's original birth certificate;• IC of the parent who consented to the child's passport application;• Child's current passport (if valid at the point of application).If the consenting parent is unable to accompany the child for the collection, another person may do so on his/her behalf with the following additional documents (for Collection at ICA Services Centre only):• Signed authorisation letter by consenting parent, which includes names and IC numbers of both parties as well as name and birth certification number of child;• IC of the authorised person"
ICA_111,What is required to maintain Permanent Residence (PR) status?,A Singapore permanent resident (SPR) who wishes to leave Singapore must obtain a Re-Entry Permit (REP) to enable him/her to return to Singapore as a SPR.  A SPR who remains outside Singapore without a valid REP will lose his/her PR status.
ICA_112,I have booked an appointment to collect my passport. Can I change my existing appointment?,You may make changes at least 3 working days before your existing appointment. Log in to ICA e-Service to change your existing appointment.
ICA_113,My trip to Singapore is cancelled. How do I withdraw the submitted SG Arrival Card (Individual/Group) for the cancelled trip?,"You do not need to withdraw or void the SGAC submission if you are cancelling your trip.If you are planning for a new trip to Singapore, you are required to submit a new SG Arrival Card.If you are using MyICA mobile app, you can delete your record by selecting the record that you wish to delete in 'Group Submission'. Please note that the 'delete' function in the mobile application is meant for travellers to clear their records:i) after their trip is completed orii) before the submission of their trip informationRecords that are deleted would not result in the retraction of records that have been submitted to ICA."
ICA_114,What should I select for SG Arrival Card (SGAC) if I have an In-Principle Approval (IPA) issued by MOM or ICA?, A holder of an In-Principle Approval (IPA) issued by ICA/MOM will need to submit the arrival information and the health declaration as a foreign visitor via the SG Arrival Card e-Service.
ICA_115,How do I know when my citizenship ceremony will be held?," Typically, the citizenship ceremony will be held three to six months after you have registered as a Singapore citizen. You will be provided with further details via email closer to the date of the citizenship ceremony."
ICA_116,How do I update my new passport details with ICA if I am a Long-Term Visit Pass (LTVP) holder?,You can report change in passport particulars via the e-Service. The LTVP holder will be required to upload an image of the new passport biodata page at the e-Service.You can refer to ICA website on Change of Passport Particulars or Residential Address for LTVP holders for further information.
ICA_117,Does the Singapore Permanent Residence (PR) status expires?,"The Singapore PR status will not expire. However, a valid Re-Entry Permit (REP) is needed each time a Singapore PR travels abroad. The REP allows you to retain your Singapore PR status while you are outside of Singapore. If you leave Singapore or remain overseas without a valid REP, you will lose your Singapore PR status. You must login to ICA e-Service using your Singpass to renew your REP."
ICA_118,Does the date of arrival to Singapore in the SG Arrival Card (SGAC) or entry date refers to date of embarkation from last city/port?,"The ""Date of Arrival to Singapore"" in the SG Arrival Card refers to the expected arrival date or entry date to Singapore."
ICA_119,Are there issues if I did not submit the SG Arrival Card (SGAC) before arriving to Singapore?," Travellers are strongly encouraged to submit their SG Arrival Card before arriving in Singapore, as those who have not done so will be required to submit on arrival before they can proceed for immigration clearance. This will delay their immigration clearance unnecessarily."
ICA_120,Why is my Long-Term Visit Pass (LTVP) application pending still after six weeks?,"All applications for LTVP applications are carefully considered and reviewed by ICA.The LTVP applications will be processed within six weeks* if all the required documents are submitted. Some applications may take more than six weeks to process. We seek your patience while we consider your application.*For spouse of Singapore citizen who did not submit a Pre-Marriage LTVP Assessment (PMLA), the LTVP application will be processed within six months.You will be informed of the outcome via email. Meanwhile, you or your local sponsor may check the status of your LTVP application through the e-Service.New or repeated applications, for the same person(s), will not be accepted while the current application is still in process."
ICA_121,What is the difference between applying for an entry visa as an Individual User or Business User?,"You can apply for visa as Individual User if you are applying for individuals/families for the purpose of social visit. Singapore registered business entity applying for visa applicants for the purpose of business visit should apply for visa as Business User. In addition, the local contact who submits the visa application must be either a Singapore citizen or a Singapore permanent resident who is at least 21 years old with a Singpass account."
ICA_122,How do I obtain the departure endorsement to prove that I left Singapore?,"ICA no longer issues departure endorsements. You may use proxy documents, such as boarding passes as indicators of your exit record."
ICA_123,Can Long-Term Pass Holders still travel with a passport which is expiring in 6 months' time or less?,"Generally, as long as long-term passes (i.e. Student's Pass, Long Term Visit Pass, Work Permit, Employment Pass and Dependant’s Pass, etc.) are valid, the pass holders are able to use their current valid passport upon seeking arrival and departure immigration clearance at the Singapore checkpoints.However, they are advised to be mindful of the immigration requirements of any country they wish to depart, visit or place of return when travelling on a passport that is less than six months valid before embarking on their journey. Where applicable, they should also check with the airline to ensure that they are allowed to board the plane as airlines have the prerogative to issue boarding passes to their passengers.As Singapore’s border measures and entry requirements will evolve as the global situation changes, please visit the MOH website and ICA website for the latest updates on travel and health control measures.It is important for a long-term pass holder to renew his/her foreign passport if it is expiring. Ensuring that a passport remains valid will allow ICA to determine his/her foreign citizenship.For all matters relating to foreign passport, please approach the respective Embassy/Consulate/Overseas Mission in Singapore.Once a new passport is obtained, a long-term pass holder will need to update his/her new passport details with the relevant issuing authority accordingly.ICA-issued Long Term Visit Pass (LTVP) holders are required to update his/her new passport details with ICA accordingly once he/she has been issued with a new passport."
ICA_124,Who is required to be present during my child's Singapore citizenship registration?,Children age 14 years old and below need not attend the citizenship registration at ICA Services Centre. Their citizenship registration will be completed in absentia by their sponsoring parent on the appointment date. Children age 15 years and above are required to be present accompanied by the main sponsor.
ICA_125,How do I extend my Short-Term Visit Pass (STVP) or stay in Singapore?,All short-term visit pass (STVP) extension applications must be submitted online via the e-Service. Walk-in applications will not be accepted. You are advised to submit your application when your STVP has a remaining validity of 14 days or less. Your application will be processed within five working days (excluding Public Holidays and weekends). Some applications may take longer to process.Do note that all applications will be assessed holistically and are subjected to approval.
ICA_126,How do I apply for Singapore Permanent Residence (PR) and what are the eligibility criteria for PR application?,You may refer to the ICA website for more information on the eligibility criteria for PR application.
ICA_127,Will I lose my Singapore citizenship if I live overseas?,"Under Article 135(1)(b) and 135(1)(c) of the Singapore Constitution, a Singapore citizen who has been away from Singapore for a continuous period of 10 years or more without a valid Singapore passport may be deprived of his Singapore citizenship.   You are advised to have a valid Singapore travel document if you wish to remain outside of Singapore for more than 10 years."
ICA_128,How can I update my information if there are changes to the submitted details on SG Arrival Card (SGAC)?,"You can update your arrival information in the SG Arrrival Card e-service via 'Update a Submission', provided the record has not expired. Please note that the arrival information you have submitted for each trip will expire:-i) after the date of the arrival; orii) after you have made your trip, whichever is earlier.If you are using MyICA Mobile App, you can update your arrival information, provided the record has not expired, by navigating to your trip record and select the 'Edit' button to make the changes. You can tap on the 'Submit' button after making the amendments."
ICA_129,How can I appeal if my Singapore Permanent Residence (PR) application is rejected or unsuccessful?,You may consider submitting a fresh application for permanent residence online if there are changes to your circumstances.
ICA_130,How can I renew my Re-Entry Permit (REP) if I am residing/working overseas?,"Applicants with valid Singpass account can submit your applications for REP facilities using ICA e-Service while overseas.If you do not have a Singpass account, you can submit your application through our Singapore Missions overseas. Please note that overseas application must be submitted at least two months before the expiry of the current REP."
ICA_131,How soon can a Singapore PR apply for Singapore citizenship after being granted Singapore PR status?,Singapore Permanent Residents (PR) are eligible to apply for Singapore citizenship two years after being granted Singapore PR status.
ICA_132,"What can I do if I cannot change my address details in the application form for Singapore citizenship, Permanent Residence and/or Long-Term Visit Pass?","The address on the application is your registered address with ICA.Should you wish to update your address, you can do so via the following steps:1. Report the new address via ICA e-Service2. Receive a unique PIN by mail at the new address.3. Enter the PIN via the same e-Service as a way to verify the new address.4. Receive a sticker bearing the new address by mail.5. Affix the sticker to the back of the IC according to the instructions provided.*Note: For LTVP holders, no stickers would be provided."
ICA_133,How do I check on the visa application status?,"The processing time of a visa application is within three working days (excluding the day of submission). However, some applications may take a longer time to process. You may use the ICA e-Service to enquire application status. Do note that you will require the visa reference number and applicant's travel document number."
ICA_134,What should I do if I did not receive my electronic Visit Pass (e-Pass) after I enter Singapore?,"Upon granted entry into Singapore, the e-Pass will be automatically issued to foreign visitors via email based on the email address declared in the SG Arrival Card submission. Foreign visitors may also check their email spam/junk folder if they are unable to find the e-Pass in their email inbox.Foreign visitors may also retrieve the e-Pass issued to them via the e-Pass Enquiry Portal. The portal is accessible via the SG Arrival Card e-Service or via the direct URL: https://eservices.ica.gov.sg/sgarrivalcard/epassenquiry.Foreign visitors will need to key in their Disembarkation/Embarkation (DE) Number, or passport details to retrieve their e-Pass. The DE Number is provided to foreign visitors after submitting their SG Arrival Card prior to arrival immigration clearance.You may submit your enquiry should you require further assistance on your DE number or e-Pass retrieval."
